HUC,REF_SITE_NO,DATE,COUNTY,PROJECT,WATERWAY,COMMONLOC,ROAD_NO,RIVER_BASIN,STATE,LATITUDE,LONGITUDE,COLLECTORS,SITE_COMMENTS,SCI_NAME,SCI_CLEAN
,206051,11/09/10,Kent,DNREC 1011004-015,Browns Branch,,Killens Pond Rd. (Rd. 384),ATL:Delaware,DE,38.9518,-75.5226,Robin Tyler,,Ferrissia fragilis,Ferrissia fragilis
,0912-115,28/09/2012,Kent,,Garrison Lake,6.5 km S of Smyrna,US 13,ATL:Delaware,DE,39.2425,-75.5876,R. T. Dillon,By kayak,Gyraulus parvus,Gyraulus parvus
,0912-119,29/09/2012,Kent,,Killens Pond,Killens Pond State Park,,ATL:Delaware,DE,38.9792,-75.5325,R. T. Dillon,By kayak,Gyraulus parvus,Gyraulus parvus
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Lymnaea columella,Lymnaea columella
,207192,10/18/11,Kent,DNREC 1110016-012,Luther Marvel Prong,,Darling Farm Rd. (Rd. 215),ATL:Chesapeake,DE,39.0919,-75.6668,DE- DNREC,,Lymnaea columella,Lymnaea columella
,207205,11/01/11,Kent,DNREC 1110017-015,Meredith Branch,,1.5 km N of Burnite Mill Rd. (Rt. ,ATL:Chesapeake,DE,38.9971,-75.6654,DE- DNREC,,Lymnaea columella,Lymnaea columella
,0912-120,29/09/2012,Kent,,Horsepen Arm,7.5 km NW of Harrington,Toby Collins Lane,ATL:Chesapeake,DE,38.9557,-75.6557,R. T. Dillon,,Lymnaea columella,Lymnaea columella
,206343,10/25/10,Kent,DNREC 1010022-026,Trib Black Swamp Cr.,,off Little Mastens Corner Rd.,ATL:Delaware,DE,38.9714,-75.5912,Robin Tyler,,Lymnaea columella,Lymnaea columella
,206714,10/18/11,Kent,DNREC 1110017-009,Trib Browns Branch ,,off 2nd Ave.,ATL:Delaware,DE,38.9340,-75.5742,DE- DNREC,,Lymnaea columella,Lymnaea columella
,0912-124,30/09/2012,Kent,,Hudson Branch,3 km N of Felton,"De 10, Turkey Point Rd.",ATL:Delaware,DE,39.0344,-75.5730,R. T. Dillon,,Lymnaea columella,Lymnaea columella
,0912-119,29/09/2012,Kent,,Killens Pond,Killens Pond State Park,,ATL:Delaware,DE,38.9792,-75.5325,R. T. Dillon,By kayak,Lymnaea columella,Lymnaea columella
,207192,10/18/11,Kent,DNREC 1110016-017,Luther Marvel Prong ,,Darling Farm Rd. (Rd. 215),ATL:Chesapeake,DE,39.0919,-75.6668,DE- DNREC,,Lymnaea humilis,Lymnaea humilis
,205271,10/27/10,Kent,DNREC 1010022-017,Fork Branch,,Rose Dale Lane (Rd. 167),ATL:Delaware,DE,39.1994,-75.6234,Robin Tyler,,Lymnaea humilis,Lymnaea humilis
,206343,10/25/10,Kent,DNREC 1010022-026,Trib Black Swamp Cr.,,off Little Mastens Corner Rd.,ATL:Delaware,DE,38.9714,-75.5912,Robin Tyler,,Lymnaea humilis,Lymnaea humilis
,202212,10/27/10,Kent,DNREC 1010022-016,Alston Branch,,DuPont Hwy. (Rt. 13),ATL:Delaware,DE,39.2299,-75.5792,Robin Tyler,,Lymnaea humilis,Lymnaea humilis
,209061,10/17/11,Kent,DNREC 1110016-015,Puncheon Run,,Rt. 13,ATL:Delaware,DE,39.1390,-75.5245,DE- DNREC,,Lymnaea humilis,Lymnaea humilis
,,2APR1998,Kent,DMNH216055,,"Horsepond Rd., behind Narandup",,ATL:,DE,39.1416,-75.4803,Fewlass,,Lymnaea humilis,Lymnaea humilis
,206411,11/10/10,Kent,DNREC 1011004-017,Browns Branch,, Jackson Ditch Rd.  (Rd. 430),ATL:Delaware,DE,38.9317,-75.5515,Robin Tyler,,Lyogyrus granum,Lyogyrus granum
,0912-119,29/09/2012,Kent,,Killens Pond,Killens Pond State Park,,ATL:Delaware,DE,38.9792,-75.5325,R. T. Dillon,By kayak,Lyogyrus granum,Lyogyrus granum
,209061,10/17/11,Kent,DNREC 1110016-015,Puncheon Run,,Rt. 13,ATL:Delaware,DE,39.1390,-75.5245,DE- DNREC,,Lyogyrus granum,Lyogyrus granum
,206051,11/09/10,Kent,DNREC 1011004-015,Browns Branch,,Killens Pond Rd. (Rd. 384),ATL:Delaware,DE,38.9518,-75.5226,Robin Tyler,,Lyogyrus granum,Lyogyrus granum
,0912-117,28/09/2012,Kent,,Mud Millpond,Choptank Mills,Mud Mill Rd 207,ATL:Chesapeake,DE,39.0680,-75.7360,R. T. Dillon,By kayak,Menetus dilatatus,Menetus dilatatus
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Menetus dilatatus,Menetus dilatatus
,207204,11/01/11,Kent,DNREC 1110017-003,Price Prong ,,600m E of Ingram Br. Rd. (Rd. 291),ATL:Chesapeake,DE,38.9345,-75.7181,DE- DNREC,,Menetus dilatatus,Menetus dilatatus
,207192,10/18/11,Kent,DNREC 1110016-017,Luther Marvel Prong ,,Darling Farm Rd. (Rd. 215),ATL:Chesapeake,DE,39.0919,-75.6668,DE- DNREC,,Menetus dilatatus,Menetus dilatatus
,205271,10/27/10,Kent,DNREC 1010022-017,Fork Branch,,Rose Dale Lane (Rd. 167),ATL:Delaware,DE,39.1994,-75.6234,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,202214,12/05/11,Kent,DNREC 1111016-018,Leipsic River ,,270m E of Brenford Rd. (Rd. 42),ATL:Delaware,DE,39.2404,-75.6149,DE- DNREC,,Menetus dilatatus,Menetus dilatatus
,206671,10/25/10,Kent,DNREC 1010022-024,Black Swamp Cr.,,Marshyhope Rd. (Rd. 282),ATL:Delaware,DE,38.9868,-75.6085,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,0912-115,28/09/2012,Kent,,Garrison Lake,6.5 km S of Smyrna,US 13,ATL:Delaware,DE,39.2425,-75.5876,R. T. Dillon,By kayak,Menetus dilatatus,Menetus dilatatus
,206311,10/25/10,Kent,DNREC 1010022-025,Fan Branch,,0.1 Mile Abv Confl w/ Beaverdam Br.,ATL:Delaware,DE,38.9930,-75.5808,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,206714,10/18/11,Kent,DNREC 1110017-009,Trib Browns Branch ,,off 2nd Ave.,ATL:Delaware,DE,38.9340,-75.5742,DE- DNREC,,Menetus dilatatus,Menetus dilatatus
,205261,10/26/10,Kent,DNREC 1010022-018,Tidbury Branch,,Dundee Rd. (Rt. 15),ATL:Delaware,DE,39.0740,-75.5741,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,0912-124,30/09/2012,Kent,,Hudson Branch,3 km N of Felton,"De 10, Turkey Point Rd.",ATL:Delaware,DE,39.0344,-75.5730,R. T. Dillon,,Menetus dilatatus,Menetus dilatatus
,206411,11/10/10,Kent,DNREC 1011004-017,Browns Branch,, Jackson Ditch Rd.  (Rd. 430),ATL:Delaware,DE,38.9317,-75.5515,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,209061,10/17/11,Kent,DNREC 1110016-015,Puncheon Run,,Rt. 13,ATL:Delaware,DE,39.1390,-75.5245,DE- DNREC,,Menetus dilatatus,Menetus dilatatus
,206602,10/26/10,Kent,DNREC 1010022-019,Double Run,,Woodleytown Rd. (Rd. 106),ATL:Delaware,DE,39.0596,-75.5088,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
,0912-117,28/09/2012,Kent,,Mud Millpond,Choptank Mills,Mud Mill Rd 207,ATL:Chesapeake,DE,39.0680,-75.7360,R. T. Dillon,By kayak,Physa acuta,Physa acuta
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Physa acuta,Physa acuta
,207192,10/18/11,Kent,DNREC 1110016-017,Luther Marvel Prong ,,Darling Farm Rd. (Rd. 215),ATL:Chesapeake,DE,39.0919,-75.6668,DE- DNREC,,Physa acuta,Physa acuta
,207205,11/01/11,Kent,DNREC 1110017-015,Meredith Branch,,1.5 km N of Burnite Mill Rd. (Rt. ,ATL:Chesapeake,DE,38.9971,-75.6654,DE- DNREC,,Physa acuta,Physa acuta
,205271,10/27/10,Kent,DNREC 1010022-017,Fork Branch,,Rose Dale Lane (Rd. 167),ATL:Delaware,DE,39.1994,-75.6234,Robin Tyler,,Physa acuta,Physa acuta
,202214,12/05/11,Kent,DNREC 1111016-018,Leipsic River ,,270m E of Brenford Rd. (Rd. 42),ATL:Delaware,DE,39.2404,-75.6149,DE- DNREC,,Physa acuta,Physa acuta
,206343,10/25/10,Kent,DNREC 1010022-026,Trib Black Swamp Cr.,,off Little Mastens Corner Rd.,ATL:Delaware,DE,38.9714,-75.5912,Robin Tyler,,Physa acuta,Physa acuta
,0912-115,28/09/2012,Kent,,Garrison Lake,6.5 km S of Smyrna,US 13,ATL:Delaware,DE,39.2425,-75.5876,R. T. Dillon,By kayak,Physa acuta,Physa acuta
,206311,10/25/10,Kent,DNREC 1010022-025,Fan Branch,,0.1 Mile Abv Confl w/ Beaverdam Br.,ATL:Delaware,DE,38.9930,-75.5808,Robin Tyler,,Physa acuta,Physa acuta
,202212,10/27/10,Kent,DNREC 1010022-016,Alston Branch,,DuPont Hwy. (Rt. 13),ATL:Delaware,DE,39.2299,-75.5792,Robin Tyler,,Physa acuta,Physa acuta
,206332,10/25/10,Kent,DNREC 1010022-022,Murderkill River,,Reeves Crossing Rd. (Rd. 286),ATL:Delaware,DE,38.9833,-75.5779,Robin Tyler,,Physa acuta,Physa acuta
,206714,10/18/11,Kent,DNREC 1110017-009,Trib Browns Branch ,,off 2nd Ave.,ATL:Delaware,DE,38.9340,-75.5742,DE- DNREC,,Physa acuta,Physa acuta
,0912-124,30/09/2012,Kent,,Hudson Branch,3 km N of Felton,"De 10, Turkey Point Rd.",ATL:Delaware,DE,39.0344,-75.5730,R. T. Dillon,,Physa acuta,Physa acuta
,206341,10/25/10,Kent,DNREC 1010022-027,Black Swamp Creek,,above Rt. 13,ATL:Delaware,DE,38.9748,-75.5690,Robin Tyler,,Physa acuta,Physa acuta
,206411,11/10/10,Kent,DNREC 1011004-017,Browns Branch,, Jackson Ditch Rd.  (Rd. 430),ATL:Delaware,DE,38.9317,-75.5515,Robin Tyler,,Physa acuta,Physa acuta
,206683,11/08/10,Kent,DNREC 1011004-023,Spring Branch,,behind Lake Forest ES,ATL:Delaware,DE,38.9931,-75.5506,Robin Tyler,,Physa acuta,Physa acuta
,206715,10/24/11,Kent,DNREC 1110017-018,Hudson Branch,,near Hillside Acres,ATL:Delaware,DE,39.0355,-75.5399,DE- DNREC,,Physa acuta,Physa acuta
,0912-119,29/09/2012,Kent,,Killens Pond,Killens Pond State Park,,ATL:Delaware,DE,38.9792,-75.5325,R. T. Dillon,By kayak,Physa acuta,Physa acuta
,206641,10/26/10,Kent,DNREC 1010022-029,Pratt Branch,,Canterbury Rd. (Rt. 15),ATL:Delaware,DE,39.0100,-75.5292,Robin Tyler,,Physa acuta,Physa acuta
,209061,10/17/11,Kent,DNREC 1110016-015,Puncheon Run,,Rt. 13,ATL:Delaware,DE,39.1390,-75.5245,DE- DNREC,,Physa acuta,Physa acuta
,206051,11/09/10,Kent,DNREC 1011004-015,Browns Branch,,Killens Pond Rd. (Rd. 384),ATL:Delaware,DE,38.9518,-75.5226,Robin Tyler,,Physa acuta,Physa acuta
,0912-118,28/09/2012,Kent,,Moores Lake,3.5 km S of Dover,"US 113A, South State St.",ATL:Delaware,DE,39.1266,-75.5183,R. T. Dillon,,Physa acuta,Physa acuta
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Pleurocera virginica,Pleurocera virginica
,0912-114,28/09/2012,Kent / New Castle,,Duck Ck.,2 km NW of Smyrna,Duck Creek Rd.,ATL:Delaware,DE,39.3093,-75.6217,R. T. Dillon,,Amnicola limosa,Amnicola limosa
,0912-114,28/09/2012,Kent / New Castle,,Duck Ck.,2 km NW of Smyrna,Duck Creek Rd.,ATL:Delaware,DE,39.3093,-75.6217,R. T. Dillon,,Ferrissia fragilis,Ferrissia fragilis
,0912-114,28/09/2012,Kent / New Castle,,Duck Ck.,2 km NW of Smyrna,Duck Creek Rd.,ATL:Delaware,DE,39.3093,-75.6217,R. T. Dillon,,Lyogyrus granum,Lyogyrus granum
,0912-114,28/09/2012,Kent / New Castle,,Duck Ck.,2 km NW of Smyrna,Duck Creek Rd.,ATL:Delaware,DE,39.3093,-75.6217,R. T. Dillon,,Menetus dilatatus,Menetus dilatatus
,0912-114,28/09/2012,Kent / New Castle,,Duck Ck.,2 km NW of Smyrna,Duck Creek Rd.,ATL:Delaware,DE,39.3093,-75.6217,R. T. Dillon,,Physa acuta,Physa acuta
,ANSP-A15421,5/20/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Amnicola limosa,Amnicola limosa
,0912-110,27/09/2012,New Castle,,Becks Pond,5 km S of Brookside,Salem Church Rd.,ATL:Delaware,DE,39.6245,-75.7025,R. T. Dillon,,Amnicola limosa,Amnicola limosa
,0912-112,27/09/2012,New Castle,,Noxontown Lake,3.5 km SE of Middletown,Noxontown Rd.,ATL:Delaware,DE,39.4332,-75.6830,R. T. Dillon,By kayak,Amnicola limosa,Amnicola limosa
,0912-107,27/09/2012,New Castle,,Brandywine Ck.,2 km NW of Talleyville,DE 92,ATL:Delaware,DE,39.8167,-75.5690,R. T. Dillon,,Amnicola limosa,Amnicola limosa
,,AUG1971,New Castle,DMNH044087,Brandywine Ck.,"Wilmington, fish ladder below Augustine Bridge",,ATL:,DE,39.7603,-75.5565,Witt & Murphy,,Bithynia tentaculata,Bithynia tentaculata
,0912-111,27/09/2012,New Castle,,Back Ck,3.5 km W of Mt. Pleasant,De 15,ATL:Chesapeake,DE,39.5103,-75.7527,R. T. Dillon,,Campeloma decisum,Campeloma decisum
,ANSP-A15439,5/21/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Campeloma decisum,Campeloma decisum
,0912-112,27/09/2012,New Castle,,Noxontown Lake,3.5 km SE of Middletown,Noxontown Rd.,ATL:Delaware,DE,39.4332,-75.6830,R. T. Dillon,By kayak,Campeloma decisum,Campeloma decisum
,106181,11/01/06,New Castle,DNREC 0610052-019,Christina Creek,,Elkton Rd (Rt. 896),ATL:Delaware,DE,39.6705,-75.7728,Ellen Dickey,,Ferrissia rivularis,Ferrissia rivularis
,0912-109,27/09/2012,New Castle,,White Clay Ck.,Thompson,Chambers Rock Rd.,ATL:Delaware,DE,39.7328,-75.7592,R. T. Dillon,,Ferrissia rivularis,Ferrissia rivularis
,112662,10/18/11,New Castle,DNREC 1110016-009,Gravelly Run,,950m S of Fords Corner Rd. (Rd. 98),ATL:Delaware,DE,39.1811,-75.7221,DE- DNREC,,Ferrissia rivularis,Ferrissia rivularis
,105221,10/27/11,New Castle,DNREC 1110018-047,Trib Mill Creek,,"RR crossing, Hockessin",ATL:Delaware,DE,39.7866,-75.6997,DRBC,,Ferrissia rivularis,Ferrissia rivularis
,105205,10/12/06,New Castle,DNREC 0610049-025,Mill Creek,,Mill Creek Rd. (Rd. 282),ATL:Delaware,DE,39.7632,-75.6840,Robin Tyler,,Ferrissia rivularis,Ferrissia rivularis
,103051,10/16/06,New Castle,DNREC 0610049-020,Red Clay Creek,,"Auburn Mill Rd (Rd. 252, Yorklyn)",ATL:Delaware,DE,39.8065,-75.6805,Ellen Dickey,,Ferrissia rivularis,Ferrissia rivularis
,,20APR1999,New Castle,DMNH221504,Calf Run,500 m N jct Hwy 7 & Hwy 2,,ATL:,DE,39.7272,-75.6519,,,Ferrissia rivularis,Ferrissia rivularis
,103061,10/26/11,New Castle,DNREC 1110018-026,Burrough's Run,,Creek Rd. (Rt. 82),ATL:Delaware,DE,39.7987,-75.6485,DRBC,,Ferrissia rivularis,Ferrissia rivularis
,103103,10/24/11,New Castle,DNREC 1110018-045,Red Clay Creek,,S of Burrows Run Confl.,ATL:Delaware,DE,39.7979,-75.6477,DRBC,,Ferrissia rivularis,Ferrissia rivularis
,106281,10/26/11,New Castle,DNREC 1110018-051,Little Mill Creek,,DuPont Rd.,ATL:Delaware,DE,39.7351,-75.5863,DRBC,,Ferrissia rivularis,Ferrissia rivularis
,0912-107,27/09/2012,New Castle,,Brandywine Ck.,2 km NW of Talleyville,DE 92,ATL:Delaware,DE,39.8167,-75.5690,R. T. Dillon,,Ferrissia rivularis,Ferrissia rivularis
,102105,10/25/06,New Castle,DNREC 0610051-019,Shellpot  Creek,,Wilson Road,ATL:Delaware,DE,39.7894,-75.5188,Ellen Dickey,,Ferrissia rivularis,Ferrissia rivularis
,101031,11/28/06,New Castle,DNREC 0611027-018,Naamans Creek South Branch,,Darley Road,ATL:Delaware,DE,39.8122,-75.4511,Ellen Dickey,,Ferrissia rivularis,Ferrissia rivularis
,ANSP-359436,,New Castle,,Noxon Town Pond,"In a Lakeside Spoilpile Noxon Town Pond, Newcastle County",,ATL:Delaware,DE,39.5167,-75.7500,"RICHARDS, H?",,Gyraulus deflectus,Gyraulus deflectus
,ANSP-A15433,5/21/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Gyraulus parvus,Gyraulus parvus
,0912-110,27/09/2012,New Castle,,Becks Pond,5 km S of Brookside,Salem Church Rd.,ATL:Delaware,DE,39.6245,-75.7025,R. T. Dillon,,Gyraulus parvus,Gyraulus parvus
,0912-112,27/09/2012,New Castle,,Noxontown Lake,3.5 km SE of Middletown,Noxontown Rd.,ATL:Delaware,DE,39.4332,-75.6830,R. T. Dillon,By kayak,Gyraulus parvus,Gyraulus parvus
,110011,10/17/11,New Castle,DNREC 1110016-006,Blackbird Creek,,Blackbird Station Rd. (Rd. 463),ATL:Delaware,DE,39.3663,-75.6694,DE- DNREC,,Gyraulus parvus,Gyraulus parvus
,0912-107,27/09/2012,New Castle,,Brandywine Ck.,2 km NW of Talleyville,DE 92,ATL:Delaware,DE,39.8167,-75.5690,R. T. Dillon,,Gyraulus parvus,Gyraulus parvus
,0912-109,27/09/2012,New Castle,,White Clay Ck.,Thompson,Chambers Rock Rd.,ATL:Delaware,DE,39.7328,-75.7592,R. T. Dillon,,Helisoma anceps,Helisoma anceps
,ANSP-A15419,5/20/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Helisoma anceps,Helisoma anceps
,,23JUN1973,New Castle,DMNH125244,,"2 mi E of Glasgow, KOA Camp, East pond",,ATL:,DE,39.6080,-75.7170,Harris,Approx coords.,Helisoma anceps,Helisoma anceps
,,19OCT1997,New Castle,DMNH207910,,"Llangollen Estates Park, Llangollen, Blvd, N 2 blks on Mendell Pl, Rt to Park Ave",,ATL:,DE,39.6464,-75.6165,Pearce,,Helisoma anceps,Helisoma anceps
,0912-107,27/09/2012,New Castle,,Brandywine Ck.,2 km NW of Talleyville,DE 92,ATL:Delaware,DE,39.8167,-75.5690,R. T. Dillon,,Helisoma anceps,Helisoma anceps
,,4JAN1997,New Castle,DMNH207013,,"Brandywine Creek State Park, at Thompson Bridge, ca 8 km N of Wilmington",,ATL:,DE,39.8169,-75.5699,Pearce,,Helisoma trivolvis,Helisoma trivolvis
,0912-107,27/09/2012,New Castle,,Brandywine Ck.,2 km NW of Talleyville,DE 92,ATL:Delaware,DE,39.8167,-75.5690,R. T. Dillon,,Helisoma trivolvis,Helisoma trivolvis
,,AUG1971,New Castle,DMNH044085,,"Wilmington, Brandywine Creek at, fish ladder below Augustine Bridge",,ATL:,DE,39.7603,-75.5565,Witt & Murphy,,Helisoma trivolvis,Helisoma trivolvis
,103061,10/26/11,New Castle,DNREC 1110018-026,Burrough's Run,,Creek Rd. (Rt. 82),ATL:Delaware,DE,39.7987,-75.6485,DRBC,,Laevapex fuscus,Laevapex fuscus
,ANSP-A15139,6/24/1957,New Castle,,Delaware River, Liston Point,,ATL:Delaware,DE,39.4113,-75.5392,"BATES, J.",,Littoridinops tenuipes,Littoridinops tenuipes
,106412,11/08/11,New Castle,DNREC 1111010-047,Iron Hill Run,,400m S of Bartley Dr.,ATL:Delaware,DE,39.6217,-75.7702,EPA,,Lymnaea columella,Lymnaea columella
,ANSP-A15429,5/20/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Lymnaea columella,Lymnaea columella
,0912-113,27/09/2012,New Castle,,Lums Pond,Lums Pond State Park,,ATL:Delaware,DE,39.5527,-75.7191,R. T. Dillon,,Lymnaea columella,Lymnaea columella
,,27JUN1973,New Castle,DMNH125228,,"Glasgow, East Pond, KOA Camp",,ATL:,DE,39.6080,-75.7170,Harris,,Lymnaea columella,Lymnaea columella
,112662,10/18/11,New Castle,DNREC 1110016-009,Gravelly Run,,950m S of Fords Corner Rd. (Rd. 98),ATL:Delaware,DE,39.1811,-75.7221,DE- DNREC,,Lymnaea humilis,Lymnaea humilis
,105207,11/15/06,New Castle,DNREC 0611027-017,Pike Creek,,Old Coach Rd. (Rd. 316),ATL:Delaware,DE,39.7149,-75.6959,Ellen Dickey,,Lymnaea humilis,Lymnaea humilis
,103091,10/12/06,New Castle,DNREC 0610049-026,Hyde Run,,McKennans Church Rd. (Rd. 276),ATL:Delaware,DE,39.7603,-75.6622,Robin Tyler,,Lymnaea humilis,Lymnaea humilis
,106402,10/24/06,New Castle,DNREC 0610051-018,Little Mill Creek,,340 meters NE of Rt. 34,ATL:Delaware,DE,39.7505,-75.6159,Robin Tyler,,Lymnaea humilis,Lymnaea humilis
,ANSP-A15424,5/20/1969,New Castle,,Sunset Lake,4.5 miles S of Newark,,ATL:Delaware,DE,39.6247,-75.7256,"RICHARSON, J.W.",,Lyogyrus granum,Lyogyrus granum
,0912-113,27/09/2012,New Castle,,Lums Pond,Lums Pond State Park,,ATL:Delaware,DE,39.5527,-75.7191,R. T. Dillon,,Lyogyrus granum,Lyogyrus granum
,0912-110,27/09/2012,New Castle,,Becks Pond,5 km S of Brookside,Salem Church Rd.,ATL:Delaware,DE,39.6245,-75.7025,R. T. Dillon,,Lyogyrus granum,Lyogyrus granum
,0912-112,27/09/2012,New Castle,,Noxontown Lake,3.5 km SE of Middletown,Noxontown Rd.,ATL:Delaware,DE,39.4332,-75.6830,R. T. Dillon,By kayak,Lyogyrus granum,Lyogyrus granum
,101031,11/28/06,New Castle,DNREC 0611027-018,Naamans Creek South Branch,,Darley Road,ATL:Delaware,DE,39.8122,-75.4511,Ellen Dickey,,Lyogyrus granum,Lyogyrus granum
,106401,11/14/06,New Castle,DNREC 0611015-021,Iron Hill Run,,Smith Way (Rd. 419),ATL:Delaware,DE,39.6348,-75.7698,Robin Tyler,,Menetus dilatatus,Menetus dilatatus
